Date,Coins/Block,% from today,Block Left,Days,New Block,Daily Emissions,$ERG to maintain
Today,30,,17470,24,4/7/2024,"21,600",@ $2.29
4/7/2024,27,10%,64800,90,7/6/2024,"19,440",$2.54
7/6/2024,24,20%,64800,90,10/4/2024,"17,280",$2.86
10/4/2024,21,30%,64800,90,1/2/2025,"15,120",$3.27
1/2/2025,18,40%,64800,90,4/2/2025,"12,960",$3.82
4/2/2025,15,50%,64800,90,7/1/2025,"10,800",$4.58
7/1/2025,12,60%,64800,90,9/29/2025,"8,640",$5.73
9/29/2025,9,70%,64800,90,12/28/2025,"6,480",$7.63
12/28/2025,6,80%,64800,90,3/28/2026,"4,320",$11.45
3/28/2026,3,90%,64800,,,"2,160",$22.90
